Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
85,0.008233,0.057112,0.436300,0.010875,0.000330,0.029417,0.001871,0.000003,0.455858,0.000001
86,0.762953,0.001136,0.016044,0.000404,0.012555,0.001659,0.009641,0.076658,0.000001,0.118950
87,0.229351,0.252827,0.005483,0.043493,0.000109,0.000016,0.046177,0.000000,0.000000,0.422544
88,0.021689,0.206077,0.332418,0.002878,0.010886,0.420845,0.003789,0.000129,0.000135,0.001154
89,0.058797,0.002055,0.062030,0.211882,0.006408,0.007006,0.014812,0.541970,0.000003,0.095035
90,0.730882,0.019663,0.004599,0.013810,0.004852,0.005326,0.038289,0.163670,0.000008,0.018899
91,0.438493,0.019399,0.037425,0.080238,0.009949,0.071754,0.077218,0.005688,0.009283,0.250552
92,0.060837,0.281696,0.491643,0.013428,0.017398,0.014699,0.092432,0.002006,0.021054,0.004806
93,0.949007,0.025291,0.005740,0.000010,0.015010,0.000276,0.002746,0.000576,0.000133,0.001210
94,0.928851,0.003423,0.001198,0.000042,0.059774,0.000802,0.004136,0.001426,0.000066,0.000282
95,0.752527,0.086094,0.002480,0.005557,0.132454,0.010336,0.010368,0.000103,0.000075,0.000004
96,0.760075,0.089114,0.007127,0.043825,0.012776,0.054623,0.018681,0.012354,0.000009,0.001416
97,0.011457,0.011557,0.017538,0.000816,0.748882,0.200502,0.006988,0.002084,0.000175,0.000001
98,0.177927,0.600040,0.010352,0.144857,0.000634,0.013724,0.020488,0.031331,0.000000,0.000647
99,0.265008,0.637812,0.027895,0.000419,0.013658,0.035710,0.017351,0.000604,0.001502,0.000041
100,0.564817,0.001509,0.164371,0.020245,0.037338,0.010503,0.013149,0.160759,0.019918,0.007391
101,0.952703,0.004704,0.010022,0.000182,0.017183,0.002414,0.008431,0.004082,0.000002,0.000278
102,0.297585,0.049509,0.000920,0.352525,0.097523,0.015098,0.133690,0.018155,0.007578,0.027417
103,0.406510,0.048870,0.001005,0.186848,0.266945,0.037326,0.022142,0.015207,0.001364,0.013781
104,0.594061,0.038917,0.002727,0.009741,0.151504,0.016254,0.145939,0.038860,0.000043,0.001956
105,0.080390,0.171050,0.001153,0.451858,0.003103,0.000902,0.093349,0.000235,0.197698,0.000261
106,0.803158,0.094895,0.006791,0.001999,0.015549,0.002681,0.007053,0.066675,0.000172,0.001028
107,0.637452,0.001123,0.001471,0.000076,0.173987,0.002838,0.003660,0.178183,0.000085,0.001125
108,0.977729,0.002346,0.000056,0.001823,0.000157,0.000440,0.016390,0.000061,0.000002,0.000996
109,0.390219,0.397892,0.001355,0.139697,0.000248,0.049846,0.017025,0.000305,0.000000,0.003414
110,0.323835,0.006258,0.013465,0.036751,0.003019,0.001072,0.000839,0.614708,0.000001,0.000053
111,0.185125,0.288719,0.260304,0.157236,0.001775,0.036074,0.003660,0.062537,0.001402,0.003169
112,0.014512,0.929596,0.023498,0.000531,0.000481,0.030417,0.000947,0.000001,0.000005,0.000014
113,0.855461,0.016613,0.001284,0.000083,0.001016,0.012088,0.004021,0.108993,0.000315,0.000125
114,0.727340,0.018159,0.002193,0.003982,0.023242,0.001771,0.046444,0.170501,0.003430,0.002939
115,0.960718,0.004449,0.007565,0.000151,0.006870,0.002144,0.000405,0.017664,0.000008,0.000027
116,0.259989,0.001431,0.000799,0.570913,0.006972,0.029564,0.018825,0.110533,0.000139,0.000835
117,0.947415,0.012251,0.012671,0.000014,0.000959,0.000053,0.026200,0.000023,0.000004,0.000409
118,0.895950,0.003906,0.021534,0.000709,0.023793,0.007064,0.046655,0.000097,0.000040,0.000251
119,0.925225,0.002650,0.020456,0.000020,0.040754,0.001113,0.007542,0.000672,0.000008,0.001561
120,0.627820,0.172588,0.093344,0.000198,0.010967,0.000144,0.001790,0.064933,0.000280,0.027937
121,0.886240,0.009241,0.017732,0.000030,0.001729,0.004013,0.004923,0.074537,0.000000,0.001555
122,0.967974,0.024682,0.000590,0.000040,0.003500,0.000467,0.002419,0.000069,0.000003,0.000256
123,0.200270,0.564851,0.017497,0.007937,0.101513,0.104673,0.000876,0.000293,0.001280,0.000811
124,0.884127,0.038377,0.000308,0.000026,0.031362,0.011836,0.031360,0.002381,0.000015,0.000208
125,0.261762,0.008716,0.649936,0.010351,0.022931,0.020032,0.025013,0.000198,0.000712,0.000348
126,0.332061,0.346203,0.059074,0.006760,0.094053,0.040331,0.061815,0.000828,0.051997,0.006878
127,0.893077,0.033920,0.003132,0.007466,0.010067,0.012357,0.024918,0.003488,0.000648,0.010927
128,0.979363,0.010359,0.003813,0.004076,0.001259,0.000119,0.000678,0.000178,0.000000,0.000156
129,0.003566,0.195131,0.109703,0.274739,0.001337,0.056077,0.006372,0.013109,0.102786,0.237180
130,0.264700,0.687071,0.000779,0.044302,0.000003,0.000470,0.001166,0.000001,0.000000,0.001509
131,0.114853,0.000571,0.007456,0.013316,0.620077,0.189914,0.053794,0.000010,0.000011,0.000000
132,0.919283,0.002087,0.014394,0.000017,0.015381,0.001559,0.010840,0.033996,0.000000,0.002444
133,0.788029,0.011593,0.002574,0.002564,0.008863,0.019436,0.024470,0.082131,0.000005,0.060334
134,0.053086,0.044650,0.012695,0.122220,0.153575,0.270423,0.144742,0.036109,0.015792,0.146709
135,0.916486,0.012328,0.022376,0.000439,0.031778,0.004224,0.006628,0.002027,0.002750,0.000964
136,0.184328,0.020025,0.019001,0.514629,0.058082,0.107201,0.020528,0.039210,0.000001,0.036996
137,0.054832,0.039010,0.055744,0.039860,0.006592,0.765314,0.015534,0.000021,0.023090,0.000003
138,0.092827,0.004446,0.838528,0.005971,0.036501,0.020896,0.000748,0.000000,0.000083,0.000000
139,0.805223,0.001588,0.027585,0.065605,0.035500,0.013697,0.032001,0.000608,0.018049,0.000143
140,0.876831,0.028579,0.002205,0.001373,0.007847,0.021271,0.019607,0.026876,0.000082,0.015329
141,0.707141,0.181088,0.000771,0.013298,0.011709,0.009270,0.005540,0.070301,0.000727,0.000156
142,0.356312,0.035961,0.011028,0.003341,0.001975,0.001483,0.016245,0.569002,0.000000,0.004653
143,0.528825,0.288172,0.000628,0.001672,0.032414,0.036330,0.097416,0.013595,0.000059,0.000888
144,0.920361,0.001074,0.000271,0.000025,0.009970,0.000216,0.005275,0.062804,0.000000,0.000003
145,0.280355,0.093120,0.008026,0.027432,0.134751,0.122652,0.223073,0.012910,0.001105,0.096577
146,0.675215,0.003099,0.000134,0.000020,0.014334,0.000204,0.001974,0.215116,0.088932,0.000972
147,0.460457,0.232373,0.000946,0.066030,0.121123,0.003502,0.022673,0.091281,0.000343,0.001272
148,0.741779,0.025219,0.003333,0.025902,0.061004,0.050718,0.078302,0.003797,0.005438,0.004508
149,0.034762,0.053053,0.047060,0.000160,0.727735,0.051638,0.029561,0.000001,0.055986,0.000045
150,0.690430,0.254020,0.039729,0.000003,0.004573,0.000038,0.000226,0.010770,0.000005,0.000206
151,0.298407,0.670402,0.007528,0.014422,0.000469,0.001193,0.007443,0.000007,0.000037,0.000092
152,0.594631,0.002203,0.010662,0.033977,0.042413,0.061604,0.139114,0.111810,0.002330,0.001255
153,0.185782,0.803445,0.002909,0.005583,0.000894,0.001006,0.000315,0.000018,0.000024,0.000024
154,0.050694,0.156541,0.052562,0.169451,0.408571,0.016865,0.129556,0.009121,0.000198,0.006440
155,0.138481,0.392100,0.029356,0.038371,0.003212,0.340506,0.025713,0.000071,0.000188,0.032000
156,0.787428,0.078377,0.005020,0.063471,0.022070,0.008029,0.005920,0.014263,0.000311,0.015111
157,0.113952,0.009891,0.081719,0.004064,0.281770,0.016677,0.168608,0.317846,0.002129,0.003345
158,0.611291,0.112774,0.007910,0.001274,0.099841,0.017884,0.068353,0.074215,0.000045,0.006414
159,0.687146,0.032129,0.001316,0.022485,0.054298,0.014957,0.043140,0.143223,0.000476,0.000830
160,0.476359,0.051798,0.018389,0.021867,0.393869,0.016226,0.019666,0.000080,0.000050,0.001695
161,0.878792,0.026842,0.016596,0.000051,0.010710,0.011278,0.032715,0.020106,0.000004,0.002906
162,0.554759,0.067711,0.014199,0.032540,0.036033,0.193270,0.072057,0.003226,0.024433,0.001772
163,0.673207,0.012675,0.010063,0.011188,0.084629,0.085800,0.020606,0.064176,0.001575,0.036083
164,0.065433,0.863590,0.000811,0.002072,0.000013,0.058299,0.009782,0.000000,0.000000,0.000000
165,0.169940,0.027284,0.005289,0.341083,0.064218,0.030326,0.110070,0.032377,0.000246,0.219166
166,0.539842,0.109826,0.015767,0.036859,0.028011,0.051832,0.018413,0.170983,0.022959,0.005507
167,0.339399,0.028056,0.003726,0.007852,0.052913,0.035900,0.115365,0.291641,0.001386,0.123761
168,0.759532,0.012076,0.021095,0.001422,0.107365,0.024981,0.067906,0.002140,0.003239,0.000245
169,0.501574,0.028534,0.092232,0.043940,0.012278,0.297209,0.006963,0.000569,0.000080,0.016620
170,0.290724,0.081759,0.003864,0.116470,0.199452,0.237669,0.014732,0.035855,0.005097,0.014379
171,0.119223,0.753352,0.024176,0.029358,0.000419,0.004194,0.069247,0.000008,0.000000,0.000022
172,0.263844,0.021022,0.000310,0.084866,0.399649,0.090266,0.030977,0.049371,0.001396,0.058299
173,0.587797,0.000106,0.001891,0.000615,0.012784,0.016128,0.002119,0.378548,0.000002,0.000010
174,0.665098,0.061693,0.003051,0.061793,0.005825,0.193082,0.001072,0.004855,0.000009,0.003521
175,0.851891,0.004837,0.093640,0.006398,0.015559,0.004739,0.020225,0.000025,0.000017,0.002668
176,0.372416,0.617822,0.000151,0.007056,0.000901,0.000398,0.001233,0.000019,0.000000,0.000004
177,0.778952,0.150442,0.049017,0.000285,0.001618,0.004902,0.010376,0.002613,0.000192,0.001602
178,0.653460,0.119010,0.001115,0.003250,0.049459,0.106478,0.042494,0.012066,0.012217,0.000452
179,0.526473,0.057215,0.004206,0.053936,0.035434,0.268455,0.001233,0.018592,0.000000,0.034455
180,0.728192,0.089564,0.013162,0.010597,0.009688,0.005685,0.131580,0.010251,0.000008,0.001272
181,0.918643,0.008035,0.000602,0.002313,0.000663,0.001212,0.002755,0.057003,0.000000,0.008775
182,0.780566,0.016919,0.007166,0.041440,0.042864,0.045430,0.040537,0.020220,0.000002,0.004857
183,0.091150,0.861737,0.004513,0.019766,0.014016,0.007814,0.000713,0.000001,0.000290,0.000001
184,0.128037,0.092034,0.270153,0.006449,0.001545,0.400935,0.100836,0.000000,0.000000,0.000012
185,0.604138,0.238894,0.006517,0.059793,0.020180,0.048579,0.019957,0.000321,0.000947,0.000673
186,0.985186,0.005306,0.000613,0.000002,0.007257,0.000184,0.000819,0.000198,0.000000,0.000435
187,0.062216,0.001203,0.905263,0.004910,0.013932,0.007323,0.002978,0.000623,0.001480,0.000074
188,0.417215,0.000246,0.128597,0.171069,0.008144,0.043335,0.004335,0.222083,0.000007,0.004969
189,0.824784,0.121348,0.001842,0.002997,0.000386,0.000861,0.041188,0.002884,0.000189,0.003521
190,0.142012,0.062019,0.000919,0.256016,0.146248,0.100202,0.102071,0.092573,0.000084,0.097857
191,0.257890,0.396014,0.050894,0.171437,0.052953,0.020844,0.026211,0.012065,0.002441,0.009250
192,0.423036,0.515121,0.055280,0.000111,0.001930,0.000951,0.000714,0.000006,0.000136,0.002714
193,0.575470,0.149645,0.000578,0.003624,0.132815,0.017360,0.109973,0.004866,0.004995,0.000673
194,0.231904,0.000188,0.016334,0.048154,0.046335,0.163143,0.019708,0.000071,0.473500,0.000663
195,0.755835,0.013137,0.000017,0.130455,0.048847,0.035559,0.012379,0.002624,0.000548,0.000600
196,0.144401,0.107637,0.728961,0.000904,0.003198,0.013256,0.001350,0.000062,0.000012,0.000219
197,0.017098,0.468717,0.481374,0.000876,0.000627,0.000388,0.003107,0.000000,0.027787,0.000026
198,0.842989,0.151936,0.000004,0.000000,0.003281,0.000425,0.001349,0.000011,0.000000,0.000006
199,0.502415,0.158030,0.103173,0.063910,0.001723,0.002091,0.164473,0.000183,0.000001,0.004001
200,0.715711,0.013051,0.002618,0.008673,0.026916,0.004543,0.004180,0.222874,0.000008,0.001426
201,0.328627,0.652068,0.003445,0.000372,0.000253,0.000633,0.014116,0.000343,0.000002,0.000140
202,0.716144,0.092268,0.015104,0.053263,0.089317,0.019195,0.009902,0.003228,0.001245,0.000334
203,0.042192,0.003981,0.000053,0.410942,0.063939,0.034245,0.206390,0.006778,0.058601,0.172879
204,0.905534,0.083676,0.000227,0.000014,0.004332,0.000766,0.003577,0.000152,0.000001,0.001722
205,0.363795,0.042405,0.067847,0.253691,0.021818,0.013225,0.011003,0.000121,0.000000,0.226095
206,0.694102,0.050023,0.004107,0.008798,0.065308,0.032947,0.100627,0.008742,0.034584,0.000764
207,0.093404,0.219209,0.030762,0.003920,0.077576,0.144885,0.008688,0.000001,0.421414,0.000141
208,0.771303,0.111691,0.003484,0.007320,0.017039,0.008219,0.068339,0.010681,0.000420,0.001504
209,0.184935,0.283558,0.013725,0.122992,0.263953,0.014304,0.011177,0.008615,0.092843,0.003900
210,0.042235,0.050536,0.717965,0.020461,0.047278,0.110146,0.008580,0.000999,0.001622,0.000179
211,0.710111,0.055376,0.011202,0.125037,0.007767,0.064250,0.012100,0.009357,0.000011,0.004790
212,0.051577,0.293927,0.066747,0.314721,0.034792,0.065473,0.011286,0.005909,0.108439,0.047128
213,0.115440,0.030910,0.001910,0.399339,0.027270,0.024601,0.007560,0.058005,0.000855,0.334108
214,0.752947,0.025514,0.000531,0.002526,0.173506,0.011229,0.009638,0.008422,0.012896,0.002790
215,0.713683,0.013623,0.205320,0.000002,0.057226,0.000272,0.000627,0.009144,0.000040,0.000063
216,0.803834,0.019084,0.001454,0.076483,0.018945,0.046749,0.006349,0.026238,0.000012,0.000851
217,0.746398,0.002537,0.001056,0.025801,0.081566,0.037976,0.090694,0.009187,0.000797,0.003988
218,0.281670,0.691435,0.004204,0.000179,0.001521,0.000088,0.018432,0.000036,0.002395,0.000042
219,0.340225,0.081520,0.043857,0.022422,0.010648,0.032023,0.021726,0.005716,0.000138,0.441724
220,0.733400,0.162847,0.000330,0.004139,0.043629,0.036050,0.018869,0.000663,0.000002,0.000071
221,0.360950,0.017769,0.298302,0.002904,0.268276,0.040244,0.009983,0.001364,0.000208,0.000001
222,0.783313,0.001317,0.056747,0.003959,0.123532,0.006483,0.000867,0.015531,0.000131,0.008121
223,0.790328,0.201520,0.001504,0.000001,0.000549,0.000060,0.001887,0.003161,0.000002,0.000987
224,0.787397,0.065735,0.003862,0.002625,0.108033,0.014463,0.008925,0.008244,0.000639,0.000077
225,0.365136,0.375381,0.001246,0.256078,0.000021,0.000038,0.000644,0.000000,0.000000,0.001456
226,0.116279,0.472905,0.211642,0.000290,0.011781,0.174007,0.008673,0.000128,0.003869,0.000427
227,0.960932,0.001283,0.013539,0.000000,0.008302,0.013470,0.002249,0.000081,0.000000,0.000144
228,0.029043,0.072373,0.135970,0.402676,0.141118,0.012012,0.001307,0.001250,0.002284,0.201969
229,0.058206,0.341652,0.566640,0.000787,0.004514,0.025469,0.002031,0.000021,0.000654,0.000027
230,0.874119,0.046158,0.024925,0.000432,0.017386,0.001254,0.034891,0.000707,0.000026,0.000102
231,0.548096,0.124857,0.189154,0.003381,0.028082,0.025311,0.025195,0.047891,0.000321,0.007712
232,0.139316,0.005769,0.132160,0.107305,0.012097,0.056860,0.005286,0.534251,0.000204,0.006752
233,0.449629,0.170963,0.002499,0.276227,0.030543,0.003998,0.035498,0.001896,0.001620,0.027128
234,0.847567,0.002620,0.052842,0.000286,0.007398,0.000188,0.064058,0.011819,0.000000,0.013221
235,0.396176,0.001733,0.001278,0.223079,0.161526,0.173899,0.026377,0.015045,0.000011,0.000875
236,0.950289,0.008431,0.002385,0.000000,0.005425,0.000288,0.018316,0.012775,0.000003,0.002089
237,0.484348,0.035950,0.416511,0.007893,0.012414,0.016574,0.016547,0.003834,0.000055,0.005874
238,0.024342,0.021804,0.014884,0.308258,0.452775,0.161474,0.006768,0.009659,0.000004,0.000030
239,0.757959,0.009685,0.000933,0.000342,0.182836,0.010585,0.005547,0.005278,0.000002,0.026832
240,0.759047,0.001595,0.079441,0.000016,0.038513,0.005179,0.041411,0.074773,0.000003,0.000023
241,0.322390,0.011624,0.004498,0.025362,0.021369,0.013328,0.052342,0.311678,0.230072,0.007338
242,0.704216,0.149384,0.003216,0.000252,0.046355,0.003220,0.012426,0.003341,0.068078,0.009512
243,0.770794,0.007317,0.001359,0.007677,0.043147,0.020219,0.072604,0.070513,0.005125,0.001244
244,0.678187,0.239317,0.000366,0.009283,0.051065,0.003121,0.007067,0.001700,0.007976,0.001917
245,0.637251,0.013924,0.193666,0.010475,0.100316,0.005893,0.007595,0.012930,0.013589,0.004361
246,0.594699,0.212534,0.004747,0.063802,0.019351,0.001045,0.020682,0.005373,0.000069,0.077698
247,0.065709,0.666801,0.126546,0.018628,0.007245,0.001745,0.072982,0.000008,0.040250,0.000087
248,0.175927,0.503366,0.072557,0.015704,0.002316,0.161345,0.057948,0.000032,0.000180,0.010626
249,0.736140,0.179949,0.022958,0.007717,0.002013,0.001815,0.034626,0.009220,0.000000,0.005562
250,0.246305,0.728395,0.005535,0.002137,0.005059,0.002392,0.005922,0.003750,0.000198,0.000307
251,0.975234,0.001207,0.001301,0.000000,0.001096,0.000000,0.000002,0.021154,0.000000,0.000006
252,0.836851,0.024235,0.005776,0.029339,0.015036,0.011110,0.058847,0.002008,0.001609,0.015189
253,0.689944,0.074414,0.000169,0.002279,0.224123,0.003918,0.002659,0.001552,0.000787,0.000155
254,0.155765,0.120805,0.613546,0.045637,0.019027,0.004764,0.018324,0.002918,0.000482,0.018732
255,0.915791,0.012971,0.000150,0.000476,0.051278,0.014648,0.002004,0.001305,0.001350,0.000027
256,0.799955,0.086649,0.000045,0.009768,0.000221,0.095187,0.008162,0.000011,0.000000,0.000003
257,0.688844,0.017666,0.001880,0.002830,0.158261,0.099083,0.006908,0.021877,0.000445,0.002206
258,0.517265,0.109199,0.037049,0.096909,0.008725,0.000431,0.006419,0.082793,0.000130,0.141079
259,0.932475,0.032676,0.000240,0.000531,0.003805,0.001731,0.023211,0.000381,0.000000,0.004950
260,0.400913,0.403009,0.002900,0.093024,0.030504,0.022101,0.035760,0.000323,0.000007,0.011457
261,0.588215,0.003879,0.019923,0.005481,0.012653,0.345783,0.019359,0.004705,0.000001,0.000001
262,0.374405,0.543869,0.000116,0.039369,0.019514,0.003728,0.018448,0.000436,0.000050,0.000064
263,0.851242,0.014452,0.091621,0.000290,0.008122,0.001058,0.006975,0.018996,0.000040,0.007205
264,0.563800,0.113384,0.116449,0.020151,0.061021,0.012379,0.065363,0.000476,0.000103,0.046872
265,0.485737,0.138399,0.000749,0.311255,0.019332,0.037600,0.004027,0.001057,0.000400,0.001443
266,0.061663,0.345586,0.026818,0.502722,0.001963,0.022529,0.027064,0.010796,0.000100,0.000760
267,0.907225,0.022075,0.034524,0.000547,0.011857,0.000760,0.012578,0.000021,0.000002,0.010411
